"codePlatform";"code";"nom";"longitude";"latitude";"description"
"KONIENE";"KONIENE_Z009_T035";"T035";"164.76589";"-21.13752";
"KONIENE";"KONIENE_Z009_T036";"T036";"164.76661";"-21.14186";
"KONIENE";"KONIENE_Z009_T037";"T037";"164.77205";"-21.15403";
"KONIENE";"KONIENE_Z011_T038";"T038";"164.7795";"-21.15931";
"KONIENE";"KONIENE_Z010_T039";"T039";"164.7679";"-21.16534";
"KONIENE";"KONIENE_Z008_T040";"T040";"164.7636";"-21.16055";
"KONIENE";"KONIENE_Z010_T041";"T041";"164.75958";"-21.15588";
"KONIENE";"KONIENE_Z005_T042";"T042";"164.74611";"-21.13476";
"KONIENE";"KONIENE_Z005_T043";"T043";"164.7489";"-21.13954";
"KONIENE";"KONIENE_Z005_T044";"T044";"164.75206";"-21.14351";
"KONIENE";"KONIENE_Z007_T045";"T045";"164.7595";"-21.14719";
"KONIENE";"KONIENE_Z009_T046";"T046";"164.76502";"-21.147";
"KONIENE";"KONIENE_Z012_T047";"T047";"164.78062";"-21.12151";
"KONIENE";"KONIENE_Z002_T048";"T048";"164.77774";"-21.12991";
"KONIENE";"KONIENE_Z011_T049";"T049";"164.78143";"-21.14025";
"KONIENE";"KONIENE_Z011_T050";"T050";"164.78014";"-21.14332";
"KONIENE";"KONIENE_Z002_T011";"T011";"164.77113";"-21.1256";
"KONIENE";"KONIENE_Z002_T012";"T012";"164.7729";"-21.12852";
"KONIENE";"KONIENE_Z002_T013";"T013";"164.77417";"-21.1312";
"KONIENE";"KONIENE_Z003_T014";"T014";"164.75471";"-21.11979";
"KONIENE";"KONIENE_Z003_T015";"T015";"164.75325";"-21.11993";
"KONIENE";"KONIENE_Z001_T016";"T016";"164.75194";"-21.12181";
"KONIENE";"KONIENE_Z001_T017";"T017";"164.75262";"-21.12444";
"KONIENE";"KONIENE_Z001_T018";"T018";"164.7509";"-21.12602";
"KONIENE";"KONIENE_Z006_T034";"T034";"164.76254";"-21.13464";
"KONIENE";"KONIENE_Z006_T033";"T033";"164.75946";"-21.13482";
"KONIENE";"KONIENE_Z007_T032";"T032";"164.7573";"-21.13332";
"KONIENE";"KONIENE_Z001_T031";"T031";"164.74958";"-21.12252";
"KONIENE";"KONIENE_Z006_T030";"T030";"164.75635";"-21.1297";
"KONIENE";"KONIENE_Z006_T029";"T029";"164.75645";"-21.12725";
"KONIENE";"KONIENE_Z001_T019";"T019";"164.74966";"-21.12108";
"KONIENE";"KONIENE_Z001_T020";"T020";"164.74702";"-21.11977";
"KONIENE";"KONIENE_Z006_T021";"T021";"164.75881";"-21.1326";
"KONIENE";"KONIENE_Z006_T022";"T022";"164.76145";"-21.13151";
"KONIENE";"KONIENE_Z002_T023";"T023";"164.76393";"-21.13004";
"KONIENE";"KONIENE_Z009_T024";"T024";"164.76639";"-21.13998";
"KONIENE";"KONIENE_Z009_T025";"T025";"164.76875";"-21.14006";
"KONIENE";"KONIENE_Z003_T026";"T026";"164.75611";"-21.12003";
"KONIENE";"KONIENE_Z001_T027";"T027";"164.75716";"-21.12239";
"KONIENE";"KONIENE_Z002_T028";"T028";"164.75708";"-21.12463";
"KONIENE";"KONIENE_Z010_T115";"T115";"164.767";"-21.1697";
"KONIENE";"KONIENE_Z010_T114";"T114";"164.763";"-21.1668";
"KONIENE";"KONIENE_Z010_T113";"T113";"164.766";"-21.1643";
"KONIENE";"KONIENE_Z010_T112";"T112";"164.762";"-21.1631";
"KONIENE";"KONIENE_Z010_T111";"T111";"164.76";"-21.1585";
"KONIENE";"KONIENE_Z010_T110";"T110";"164.761";"-21.155";
"KONIENE";"KONIENE_Z010_T109";"T109";"164.756";"-21.1528";
"KONIENE";"KONIENE_Z010_T108";"T108";"164.756";"-21.1486";
"KONIENE";"KONIENE_Z009_T107";"T107";"164.768";"-21.1487";
"KONIENE";"KONIENE_Z009_T106";"T106";"164.77";"-21.1371";
"KONIENE";"KONIENE_Z009_T105";"T105";"164.766";"-21.1386";
"KONIENE";"KONIENE_Z009_T104";"T104";"164.768";"-21.1425";
"KONIENE";"KONIENE_Z009_T103";"T103";"164.765";"-21.1464";
"KONIENE";"KONIENE_Z009_T102";"T102";"164.771";"-21.147";
"KONIENE";"KONIENE_Z009_T101";"T101";"164.77";"-21.1521";
"KONIENE";"KONIENE_Z009_T100";"T100";"164.768";"-21.1551";
"KONIENE";"KONIENE_Z008_T099";"T099";"164.766";"-21.1605";
"KONIENE";"KONIENE_Z008_T098";"T098";"164.764";"-21.1522";
"KONIENE";"KONIENE_Z007_T097";"T097";"164.759";"-21.1469";
"KONIENE";"KONIENE_Z007_T096";"T096";"164.758";"-21.142";
"KONIENE";"KONIENE_Z007_T095";"T095";"164.763";"-21.142";
"KONIENE";"KONIENE_Z007_T094";"T094";"164.761";"-21.1394";
"KONIENE";"KONIENE_Z007_T093";"T093";"164.759";"-21.1374";
"KONIENE";"KONIENE_Z007_T092";"T092";"164.757";"-21.1343";
"KONIENE";"KONIENE_Z006_T091";"T091";"164.761";"-21.134";
"KONIENE";"KONIENE_Z006_T090";"T090";"164.76";"-21.13";
"KONIENE";"KONIENE_Z006_T089";"T089";"164.755";"-21.1306";
"KONIENE";"KONIENE_Z006_T088";"T088";"164.756";"-21.1275";
"KONIENE";"KONIENE_Z006_T087";"T087";"164.752";"-21.1293";
"KONIENE";"KONIENE_Z006_T086";"T086";"164.752";"-21.1328";
"KONIENE";"KONIENE_Z005_T085";"T085";"164.753";"-21.1549";
"KONIENE";"KONIENE_Z005_T084";"T084";"164.752";"-21.1495";
"KONIENE";"KONIENE_Z005_T083";"T083";"164.752";"-21.1449";
"KONIENE";"KONIENE_Z005_T082";"T082";"164.749";"-21.1408";
"KONIENE";"KONIENE_Z005_T081";"T081";"164.753";"-21.1369";
"KONIENE";"KONIENE_Z005_T080";"T080";"164.745";"-21.137";
"KONIENE";"KONIENE_Z005_T079";"T079";"164.748";"-21.1336";
"KONIENE";"KONIENE_Z005_T078";"T078";"164.741";"-21.1316";
"KONIENE";"KONIENE_Z005_T077";"T077";"164.745";"-21.1292";
"KONIENE";"KONIENE_Z005_T076";"T076";"164.739";"-21.1278";
"KONIENE";"KONIENE_Z004_T075";"T075";"164.769";"-21.1228";
"KONIENE";"KONIENE_Z004_T074";"T074";"164.772";"-21.1245";
"KONIENE";"KONIENE_Z004_T073";"T073";"164.775";"-21.126";
"KONIENE";"KONIENE_Z004_T072";"T072";"164.779";"-21.1276";
"KONIENE";"KONIENE_Z003_T071";"T071";"164.756";"-21.1205";
"KONIENE";"KONIENE_Z003_T070";"T070";"164.76";"-21.1208";
"KONIENE";"KONIENE_Z003_T069";"T069";"164.75";"-21.1197";
"KONIENE";"KONIENE_Z002_T068";"T068";"164.774";"-21.1349";
"KONIENE";"KONIENE_Z002_T067";"T067";"164.777";"-21.1344";
"KONIENE";"KONIENE_Z002_T066";"T066";"164.774";"-21.1306";
"KONIENE";"KONIENE_Z002_T065";"T065";"164.77";"-21.1319";
"KONIENE";"KONIENE_Z002_T064";"T064";"164.766";"-21.1296";
"KONIENE";"KONIENE_Z002_T063";"T063";"164.769";"-21.1269";
"KONIENE";"KONIENE_Z002_T062";"T062";"164.766";"-21.1246";
"KONIENE";"KONIENE_Z002_T061";"T061";"164.762";"-21.1271";
"KONIENE";"KONIENE_Z001_T060";"T060";"164.761";"-21.123";
"KONIENE";"KONIENE_Z001_T059";"T059";"164.754";"-21.1229";
"KONIENE";"KONIENE_Z001_T058";"T058";"164.751";"-21.1221";
"KONIENE";"KONIENE_Z005_T057";"T057";"164.75339";"-21.13503";
"KONIENE";"KONIENE_Z001_T134";"T134";"164.751";"-21.1262";
"KONIENE";"KONIENE_Z006_T056";"T056";"164.75143";"-21.13243";
"KONIENE";"KONIENE_Z006_T055";"T055";"164.74943";"-21.13004";
"KONIENE";"KONIENE_Z013_T054";"T054";"164.745";"-21.12613";
"KONIENE";"KONIENE_Z013_T053";"T053";"164.74186";"-21.12272";
"KONIENE";"KONIENE_Z013_T052";"T052";"164.74646";"-21.12281";
"KONIENE";"KONIENE_Z009_T051";"T051";"164.77043";"-21.14863";
"KONIENE";"KONIENE_Z004_T010";"T010";"164.76929";"-21.12396";
"KONIENE";"KONIENE_Z004_T009";"T009";"164.76734";"-21.12211";
"KONIENE";"KONIENE_Z011_T008";"T008";"164.77505";"-21.14082";
"KONIENE";"KONIENE_Z002_T007";"T007";"164.77529";"-21.13678";
"KONIENE";"KONIENE_Z002_T006";"T006";"164.77297";"-21.1339";
"KONIENE";"KONIENE_Z011_T005";"T005";"164.77954";"-21.14167";
"KONIENE";"KONIENE_Z002_T004";"T004";"164.7704";"-21.13121";
"KONIENE";"KONIENE_Z002_T003";"T003";"164.76735";"-21.129";
"KONIENE";"KONIENE_Z004_T001";"T001";"164.76578";"-21.12254";
"KONIENE";"KONIENE_Z002_T002";"T002";"164.76575";"-21.12533";
"KONIENE";"KONIENE_Z013_T133";"T133";"164.747";"-21.1268";
"KONIENE";"KONIENE_Z013_T132";"T132";"164.746";"-21.1228";
"KONIENE";"KONIENE_Z013_T131";"T131";"164.742";"-21.1249";
"KONIENE";"KONIENE_Z013_T130";"T130";"164.74";"-21.1208";
"KONIENE";"KONIENE_Z012_T129";"T129";"164.777";"-21.1204";
"KONIENE";"KONIENE_Z012_T128";"T128";"164.782";"-21.1196";
"KONIENE";"KONIENE_Z012_T127";"T127";"164.783";"-21.1153";
"KONIENE";"KONIENE_Z011_T126";"T126";"164.782";"-21.1319";
"KONIENE";"KONIENE_Z011_T125";"T125";"164.782";"-21.1373";
"KONIENE";"KONIENE_Z011_T124";"T124";"164.78";"-21.1424";
"KONIENE";"KONIENE_Z011_T123";"T123";"164.774";"-21.1423";
"KONIENE";"KONIENE_Z011_T122";"T122";"164.776";"-21.1471";
"KONIENE";"KONIENE_Z011_T121";"T121";"164.776";"-21.1519";
"KONIENE";"KONIENE_Z011_T120";"T120";"164.774";"-21.1577";
"KONIENE";"KONIENE_Z011_T119";"T119";"164.77";"-21.1588";
"KONIENE";"KONIENE_Z011_T118";"T118";"164.771";"-21.1644";
"KONIENE";"KONIENE_Z011_T117";"T117";"164.771";"-21.1702";
"KONIENE";"KONIENE_Z010_T116";"T116";"164.766";"-21.1727";
